lex_id,apq,pos,en,concept_id,features,,
adj_7_a,áwš,adj,not able (positive úhc),NOT_ABLE,N/A,,
n_68_a,áy,n,swamp,SWAMP,inanimate,,
n_69_a,áy kóck,n,pond,POND,inanimate,,
n_70_a,áy kóck,n,marsh,MARSH,inanimate,,
adv_4_a,ayának,adv,now,NOW,N/A,,
adv_5_a,ayíl,adv,today,TODAY,N/A,,
n_71_a,áyip téłk tálkop,n,marsh lily,MARSH LILY,animate,,
n_72_a,các,n,lungs,LUNGS,animate,,
v_13_a,cáˑc,v,to crack something,CRACK,transitive,,
n_73_a,cáˑc óc,n,walnut,WALNUT,animate,,
v_13_b,cáhš,v,to crack something,CRACK,transitive,,
n_74_a,Cahtá,n,Choctaw,CHOCTAW,"Proper, animate",,
v_14_a,cák,v,to fill something (a hole),FILL,transitive,,
adj_8_a,cák,adj,dry,DRY,N/A,,
v_15_a,cák,v,to dry, to become dry (pl cákcak),DRY,"intransitive, SG_SUBJ",
v_15_b,cáki,v,to dry something,DRY,transitive,,
v_15_c,cákš,v,to dry something (sg),DRY,"transitive, SG_OBJ",,
v_16_a,cákš,v,to chew something,CHEW,transitive,,
v_17_a,cál,v,to break something of glass (var. cáłš),BREAK_GLASS,transitive,,
v_18_a,calcálš,v,to stamp repeatedly,STAMP_REP,intransitive,,
v_19_a,cálš,v,to stamp,STAMP,intransitive,,
v_20_a,cám,v,to bite something (pl?) (cf. cáw),BITE,"transitive, PL_OBJ",,
n_75_a,camakúc,n,crawfish,CRAWFISH,animate,,
n_76_a,cámakuc tikáw,n,shrimp,SHRIMP,animate,,
v_15_d,cámš,v,to dry something (pl),DRY,"transitive, PL_OBJ",,
v_21_a,cán,v,to hide something,TWICE MORE,transitive,,
n_77_a,canúk,n,horse,HORSE,animate,,
n_78_a,canúk kíš,n,mare,MARE,animate,,
n_79_a,canúk šakyóŋš,n,horsefly,HORSEFLY,animate,,
n_80_a,canúkáŋ,n,barn,BARN,inanimate,,
n_81_a,canúkáŋ,n,stable,STABLE,inanimate,,
n_82_a,canukišó·m,n,colts,COLTS,animate,,
v_22_a,cáŋ,v,to steal something from someone,STEAL,transitive,,
v_23_a,cáŋš,v,to push something,PUSH,transitive,,
v_24_a,cáŋš,v,to knead something,KNEAD,transitive,,
v_25_a,cáŋš,v,to squeeze something out,SQUEEZE_OUT,transitive,,
v_26_a,cáˑt,v,to move quickly,MOVE_QUICKLY,intransitive,,
n_83_a,cáthé,n,poison vine with a root resembling duck potato,POISON_VINE,animate,,
adv_6_a,cátn̥,adv,afterwards,AFTERWARDS,N/A,,
v_20_b,cáw,v,to bite something (sg?) (c.f. cám),BITE,"transitive, SG_OBJ",,
v_27_a,cáycayš,v,to tremble from cold or fear,TREMBLE,intransitive,,
n_84_a,Cáyon,n,Mexican,MEXICAN,"Proper, animate",,
n_85_a,Cáyon Néˑ,n,Mexico,MEXICO,"Proper, inanimate",,
n_86_a,Cáyon Néˑ,n,Texas,TEXAS,"Proper, inanimate",,
adj_9_a,céˑŋ,adj,proud (of women only),PROUD,intransitive,,
n_87_a,cí,n,bone,BONE,animate,,
n_88_a,cíci,n,baby,BABY,"SG, animate",,
n_89_a,cíci,n,infant,INFANT,"SG, animate",,
n_90_a,cíˑci,n,tobacco pipe,TOBACCO PIPE,inanimate,,
n_91_a,cicíš,n,a baby,A BABY,animate,,
num_1_a,cíˑk,num,two,TWO, ,,
n_92_a,cík katké,n,a chew of tobacco,A CHEW OF TOBACCO,inanimate,,
adv_2_c,cikát,adv,ago,AGO,N/A,,
n_93_a,cikhól,n,twins,TWINS,animate,,
v_28_a,cikilíkš,v,to tickle,TICKLE,intransitive,,
n_94_a,cíkip,n,little blue heron,LITTLE BLUE HERON,animate,,
adv_7_a,cíˑkip,adv,twice,TWICE,N/A,,
adv_8_a,cíˑksim,adv,two apiece,TWO_APIECE,N/A,,
adv_8_b,cíˑksim,adv,two to each,TWO_APIECE,N/A,,
n_95_a,cíˑkštan,n,both,BOTH,inanimate,,
adj_9_b,cíl,adj,"proud (men only, cf. céŋ) (pl. cílcil)",PROUD,N/A,,
adj_10_a,cíl,adj,rusty (usually haccíl),RUSTY,N/A,,
n_96_a,cilá·m,n,meadowlark,MEADOWLARK,animate,,
n_97_a,cílack,n,tick,TICK,animate,,
n_98_a,cílack išó·m,n,seed ticks,SEED TICKS,animate,,
n_99_a,ciná·š,n,button,BUTTON,inanimate,,
adj_11_a,cipál,adj,sticky,STICKY,N/A,,
v_29_a,cipálš,v,to stick something together,STICK_TOGETHER,transitive,,
v_30_a,cípš,v,to move one’s residence,MOVE_RESIDENCE,intransitive,,
n_88_b,cíš,n,baby,BABY,"SG, animate",,
n_100_a,cíšt,n,pipe,PIPE,inanimate,,
n_101_a,cít,n,tobacco,TOBACCO,inanimate,,
n_90_b,cít cišt,n,tobacco pipe,TOBACCO PIPE,inanimate,,
n_102_a,cít kátke,n,chew of tobacco,CHEW OF TOBACCO,inanimate,,
n_90_c,cít ƛúkšne,n,tobacco pipe,TOBACCO PIPE,inanimate,,
n_103_a,cít wošyínc,n,cigar,CIGAR,inanimate,,
n_104_a,cít wošyínc,n, cigarette,CIGARETTE,inanimate,,
v_31_a,cít yínc,v,to wrap tobacco into a cigar,WRAP CIGAR,intransitive,,
v_32_a,ciwáŋ,v,to suffer from dizziness or vertigo,VERTIGO,intransitive,,
v_33_a,ciwáŋiš,v,to move something,MOVE_SOMETHING,transitive,,
v_34_a,ciwáŋiš,v,to stir something,STIR,transitive,,
n_105_a,cóhoc,n,corn,CORN,animate,,
n_106_a,cóhoc akóp,n,corn meal,CORN MEAL,inanimate,,
n_107_a,cóhoc ákš,n,green corn,GREEN CORN,animate,,
n_108_a,cóhoc ém,n,pounded corn,POUNDED CORN,inanimate,,
n_109_a,cóhoc hílšne,n,corn sieve,CORN SIEVE,inanimate,,
n_110_a,cóhoc líline,n,corn mill,CORN MILL,inanimate,,
n_111_a,cóhoc neˑyuš,n,cornfield,CORNFIELD,animate,,
n_112_a,cóhoc óc,n,grain of corn,GRAIN OF CORN,inanimate,,
n_113_a,cóhoc tál,n,cornhusk,CORNHUSK,inanimate,,
n_114_a,cóhoc wá·k,n,ear of corn,EAR OF CORN,inanimate,,
n_115_a,cóhoc wa·kcí,n,corncob,CORNCOB,inanimate,,
n_116_a,cóhoc wáš,n,corn husks,CORN HUSKS,inanimate,,
n_117_a,cóhoc yáhne,n,corn weevil,CORN WEEVIL,inanimate,,
n_118_a,cóhocáŋ,n,corn-crib,CORN-CRIB,inanimate,,
n_119_a,Cóhocíš,n,proper name of a chief living on Lake Prien,PROPER NAME OF A CHIEF LIVING ON LAKE PRIEN,"proper, animate",,
n_120_a,cók,n,blackbird,BLACKBIRD,animate,,
n_121_a,Cók Táy,n,Bayou Dinde,BAYOU DINDE,"proper, animate",,
v_24_b,cóŋš,v,to knead something,KNEAD,transitive,,
adj_12_a,copcópš,adj,spotted in colors,SPOTTED,N/A,,
n_122_a,cošíŋš,n,chills,CHILLS,inanimate,,
n_123_a,cošíŋš hišláwš,n,malaria,MALARIA,inanimate,,
v_35_a,cóˑt,v,to stand (pl) (sg. táˑt),STAND,"intransitive, PL_SUBJ",,
v_36_a,cucál,v,to kick something,KICK,transitive,,
n_124_a,cúh,n,claw,CLAW,inanimate,,
n_125_a,cúh,n,nail,NAIL,inanimate,,
adj_13_a,cúkcukš,adj,bumpy,BUMPY,N/A,,
adj_14_a,cúkcukš,adj,rough,ROUGH,N/A,,
adj_15_a,cúkcukš,adj,rugged,RUGGED,N/A,,
n_126_a,cúkš,n,cardinal,CARDINAL,animate,,
v_37_a,cúm,v,to pinch something,PINCH,transitive,,
v_38_a,cúmš,v,to cause something to pinch something,MAKE_PINCH,transitive,,
n_127_a,é·ŋ,n,name,NAME,animate,,
n_128_a,ehéw,n,sweetgum,SWEETGUM,animate,,
n_129_a,ehéw néš,n,sweetgum tree,SWEETGUM TREE,animate,,
v_39_a,ém,v,to pound something,POUND,transitive,,
n_130_a,enkéwišt,n,prairie chicken (Tympanuchus cupido),PRAIRIE CHICKEN,animate,,
n_131_a,éŋ,n,grease,GREASE,inanimate,,
v_40_a,éŋiš,v,to make grease,MAKE_GREASE,intransitive,,
n_132_a,éŋkáwne šiht,n,grease jar,GREASE JAR,inanimate,,
adj_16_a,éŋš,adj,greasy,GREASY,N/A,,
n_133_a,éŋtimnán,n,candle,CANDLE,inanimate,,
n_134_a,éˑt,n,chin,CHIN,animate,,
adv_9_a,eykún,adv,just now,JUST NOW,N/A,,
adv_10_a,eykún tán,adv,still,STILL,N/A,,
adv_11_a,eykúnnak,adv,beginning,BEGINNING,N/A,,
n_135_a,Gúy Táy,n,Bayou des Gayes,BAYOU DES GAYES,"proper, animate",,
pro_1_a,há,pro,he,PRO_3SG,3SG,,
pro_1_b,há,pro,she,PRO_3SG,3SG,,
pro_1_c,há,pro,it,PRO_3SG,3SG,,
pro_2_a,ha núk,pro,himself,PRO_3SG_REFLX,3SG,,
pro_2_b,ha núk,pro,herself,PRO_3SG_REFLX,3SG,,
pro_2_c,ha núk,pro,itself,PRO_3SG_REFLX,3SG,,
v_41_a,há·n,v,not to exist,NOT_EXIST,"intransitive, NEG",,
v_42_a,há·n,v,there is not,IS_NOT,"intransitive, NEG",,
v_13_c,haccá·c,v,"to crack, of wood",CRACK,intransitive,,
v_43_a,haccákš,v,to gargle,GARGLE,intransitive,,
n_136_a,haccákšne,n,drying implement,DRYING IMPLEMENT,inanimate,,
v_44_a,haccewwán,v,to forget something,FORGET,transitive,,
adj_10_b,haccíl,adj,rusty,RUSTY,N/A,,
adj_17_a,haccíškiš,adj,pleased,PLEASED,N/A,,
adj_18_a,haccíškiš,adj,glad,GLAD,N/A,,
v_45_a,hacciwáŋiš,v,to wiggle,WIGGLE,intransitive,,
adj_19_a,hacehéš,adj,bad (sg),BAD,SG,,
adj_19_b,haceméš,adj,bad (pl),BAD,SG,,
v_41_b,háh,v,not to exist,NOT_EXIST,"transitive, NEG",,
intj_2_a,háha,intj,yes!,YES!,N/A,,
v_41_c,háhan,v,there is not (var. há·n),NOT_EXIST,"intransitive, NEG",,
v_46_a,háhš,v,not to have,NOT_HAVE,"transitive, NEG",,
adv_12_a,hahuwí·t,adv,previously,PREVIOUSLY,N/A,,
pro_3_a,háiš,pro,as for him,PRO_3SG_FOC,"3SG, FOC",,
pro_3_b,háiš,pro,as for her,PRO_3SG_FOC,"3SG, FOC",,
pro_3_c,háiš,pro,as for it,PRO_3SG_FOC,"3SG, FOC",,
pro_4_a,hakít,pro,they,PRO_3PL,3PL,,
pro_5_a,hakít núk,pro,themselves,PRO_3PL_REFLX,3PL,,
adj_20_a,hál,adj,behind,BEHIND,N/A,,
n_137_a,hál,n,back,BACK,animate,,
adv_13_a,hál,adv,teen in counting,TEEN IN COUNTING,N/A,,
adv_14_a,hál,adv,again,AGAIN,N/A,,
adv_15_a,hál cí·kip,adv,twice more,TWICE MORE,N/A,,
n_138_a,hál hé·š,n,backache,BACKACHE,inanimate,,
adv_16_a,hál itiyílš,adv,next month,NEXT MONTH,N/A,,
adv_17_a,hál tanúkip,adv,once more,ONCE MORE,N/A,,
n_139_a,hálcí,n,spine,SPINE,animate,,
adv_6_b,hálkin,adv,afterwards,AFTERWARDS,N/A,,
n_140_a,hálšukíŋ,n,one-half,ONE-HALF,inanimate,,
v_47_a,hán,v,to fail to do something,FAIL,transitive,,
v_48_a,háŋš,v,to finish something, to end doing something,FINISH,transitive,
v_49_a,háŋš,v,to finish something, to end doing something,END,transitive,
n_141_a,hatakinán,n,beads,BEADS,inanimate,,
n_142_a,hatakinán óŋi,n,string of beads,STRING OF BEADS,inanimate,,
n_143_a,hatáškišne,n,parasol,PARASOL,inanimate,,
adj_21_a,hateláŋš,adj,still,STILL,N/A,,
adj_22_a,hateláŋš,adj,quiet,QUIET,N/A,,
adj_23_a,hathópš,adj,hollow,HOLLOW,N/A,,
n_144_a,hathúne,n,glass,GLASS,inanimate,,
v_50_a,hatíc,v,to wake up [root -ic],AGAIN, -TEEN IN COUNTING,intransitive,
v_21_b,hatinúš,v,to hide [root -inu-],TWICE MORE,intransitive,,
v_51_a,hatipáciš,v,to turn a somersault,SOMERSAULT,intransitive,,
n_145_a,hatítikómš,n,apron,APRON,inanimate,,
v_52_a,hatitólš,v,to dress [root -itolš],DRESS,intransitive,,
n_146_a,hatkanán,n,pillow,PILLOW,inanimate,,
n_147_a,hatkanán káwš,n,pillowcase ,PILLOWCASE,inanimate,,
n_148_a,hatkáyišne,n,suspenders,SUSPENDERS,inanimate,,
n_149_a,hatké,n,ring,RING,inanimate,,
adj_24_a,hatkipáhši,adj,sidesaddle,SIDESADDLE,N/A,,
v_53_a,hatkókiš,v,"to bend an elbow, knee, or other body part",BEND_BODY_PART,transitive,,
v_54_a,hatláš,v,to shave,SHAVE,intransitive,,
v_55_a,hatlútiš,v,to blow one’s nose,BLOW_NOSE,intransitive,,
v_56_a,hatmišké·š,v,to spread around in a circle,SPREAD_IN_CIRCLE,intransitive,,
v_57_a,hatmókš,v,to lend to someone,LEND,transitive,,
v_58_a,hatmolmóliš,v,to gargle,BEGINNING,intransitive,,
intr_2_a,hatnáh,intr,how much?,HOW_MUCH,N/A,,
v_59_a,hatnáh,v,to be how (interrogative only),BE_HOW,intransitive,,
n_150_a,hatnáh,n,a little bit,A LITTLE BIT,inanimate,,
intr_3_a,hatnáhip,intr,how many times?,HOW_MANY_TIMES,N/A,,
intr_4_a,hatnáhka,intr,how?,HOW,N/A,,
intr_5_a,hatnáhka máŋ,intr,how long?,HOW_LONG,N/A,,
intr_6_a,hatnáhka pél,intr,how far?,HOW_FAR,N/A,,
intr_5_b,hatnáka máŋ,intr,how long?,HOW_LONG,N/A,,
v_60_a,hatnáˑkš,v,to listen,LISTEN,intransitive,,
v_61_a,hatpacpáciš,v,to flutter the wings,FLUTTER_WINGS,intransitive,,
v_62_a,hatpáhiš,v,to bloom,BLOOM,intransitive,,
v_60_b,hatpáhš,v,to listen,LISTEN,intransitive,,
n_151_a,hatpáˑšne,n,armor,ARMOR,inanimate,,
v_63_a,hatpáwiš,v,to whirl about,WHIRL_ABOUT,transitive,,
v_64_a,hatpáwiš,v,to swing oneself,SWING,transitive,,
n_152_a,hatpáwišne,n,swing,SWING,inanimate,,
adj_25_a,hatpéh,adj,ready,READY,N/A,,
v_65_a,hatpéni,v,to have enough of something,HAVE_ENOUGH,transitive,,
n_153_a,hatpunpúns,n,porpoise,PORPOISE,animate,,
v_66_a,hatšákš,v,to wipe oneself with a cloth,WIPE_WITH_CLOTH,intransitive,,
adj_26_a,hatšimá·l,adj,coiled up,COILED,N/A,,
adj_27_a,hatšóšólš,adj,afraid,AFRAID,N/A,,
v_67_a,hattíc,v,to contend,CONTEND,intransitive,,
n_154_a,hatuckáwšne,n,caul,CAUL,animate,,
v_68_a,hatúhc,v,to remember something,REMEMBER,transitive,,
v_69_a,hatúhciš,v,to learn,LEARN,intransitive,,
n_144_b,hatutúne,n,glass,GLASS,inanimate,,
n_155_a,hatutúne,n,mirror,MIRROR,inanimate,,
n_156_a,hatutúne áŋkatpans,n,window glass,WINDOW GLASS,inanimate,,
v_70_a,hatwén,v,to pray,PRAY,intransitive,,
v_71_a,hatwíliš,v,to rock,ROCK,intransitive,,
v_72_a,hatwíw,v,to consider oneself,CONSIDER,intransitive,,
adj_28_a,hatyanyáns,adj,wild,WILD,N/A,,
n_157_a,háw,n,snow,SNOW,inanimate,,
v_73_a,háw,v,to snow,SNOW,intransitive,,
n_158_a,háw hicón,n,sleet,SLEET,inanimate,,
v_74_a,háw hicón,v,to sleet,SLEET,intransitive,,
n_159_a,háw iškám,n,hail,HAIL,inanimate,,
v_75_a,háw iškám,v,to hail,HAIL,intransitive,,
n_160_a,háwkómi,n,heavy snow,HEAVY SNOW,inanimate,,
v_76_a,háyhayš,v,to weep,,WEEP,intransitive,
v_77_a,háyhayš,v,to neigh,NEIGH,intransitive,,
v_78_a,hayháyu,v,to laugh repeatedly,LAUGH_REP,intransitive,,
v_79_a,háyu,v,"to laugh (with directional case, to laugh at someone)",LAUGH,intransitive,,
adj_29_a,hé,adj,to be strong-tasting,STRONG_TASTING, ,,
adj_30_a,hé,adj,bitter,BITTER, ,,
adj_31_a,héc,adj,big,BIG,N/A,,
adj_32_a,héc,adj,large,LARGE,N/A,,
v_80_a,héh,v,to ache,ACHE,intransitive,,
v_81_a,héh,v,to hurt,HURT,intransitive,,
v_81_b,héh ka,v,to hurt someone,HURT,transitive,,
n_161_a,hehéš,n,dawn,DAWN,inanimate,,
n_162_a,hehéš,n,morning,MORNING,inanimate,,
v_80_b,hehéš,v,to ache,ACHE,"PL, intransitive",,
adj_33_a,hehéš,adj,painful,PAINFUL,PL,,
v_82_a,hehhatká,v,to hurt oneself,HURT_SELF,intransitive,,
v_83_a,hehhéh,v,to ache repeatedly or continuously,ACHE_REP,intransitive,,
v_80_c,héš,v,to ache,ACHE,"SG, intransitive",,
adj_33_b,héš,adj,painful,PAINFUL,SG,,
adj_34_a,héw,adj,many,MANY,N/A,,
v_84_a,héwhatwíw,v,to think much of oneself,THINK_MUCH_SELF,intransitive,,
adv_18_a,héwip,adv,many times,MANY TIMES,N/A,,
v_85_a,héwš,v,to have many of something,HAVE_MANY,transitive,,
v_86_a,héwš,v,to curse someone,CURSE,transitive,,
v_87_a,héwš,v,to reproach someone,REPROACH,transitive,,
n_163_a,hí,n,wind,WIND,inanimate,,
n_164_a,hí,n,storm,STORM,inanimate,,
n_165_a,hí lá·k,n,hurricane,HURRICANE,inanimate,,
adj_35_a,hicám,adj,joined,JOINED,N/A,,
v_88_a,hicámš,v,to join something,JOIN,transitive,,
v_89_a,hicámš,v,to connect something,CONNECT,transitive,,
adj_36_a,hicón,adj,small (inanimate),SMALL,inanimate,,
v_90_a,híh,v,to plant something (var. of híš),PLANT,transitive,,
v_91_a,hik,v,to come down,COME_DOWN,intransitive,,
n_166_a,hiká·t išó·m,n,little toes,LITTLE TOES,animate,,
n_167_a,hikáˑt,n,foot,FOOT,animate,,
n_168_a,hikáˑt,n,paw,PAW,animate,,
n_169_a,hikáˑt cúh,n,toenail,TOENAIL,animate,,
n_170_a,hikáˑt héc,n,big toe,BIG TOE,animate,,
n_171_a,hikáˑt húy,n,sole of the foot,SOLE OF THE FOOT,animate,,
adj_37_a,hikáˑtsim,adj,barefoot,BAREFOOT,N/A,,
v_48_b,hikáwš,v,to finish,FINISH,intransitive,,
n_172_a,hikí,n,west,WEST,inanimate,,
n_173_a,hikí inó,n,west side,WEST SIDE,inanimate,,
v_92_a,hikóŋš,v,to fasten,FASTEN,transitive,,
v_93_a,hikóŋš,v,to tie a knot,TIE_KNOT,transitive,,
n_174_a,hikú,n,soup,SOUP,inanimate,,
n_175_a,hikú,n,broth,BROTH,inanimate,,
v_94_a,hilám,v,to suffer a burning pain,SUFFER_BURN_PAIN,intransitive,,
n_176_a,hiláŋ,n,vulture,VULTURE,animate,,
n_177_a,hiláŋ šoktéy,n,a kind of medicinal root,A KIND OF MEDICINAL ROOT,animate,,
n_178_a,hiláŋ teˑ néš,n,magnolia tree,MAGNOLIA TREE,animate,,
n_179_a,hiláŋ wóˑl,n,muscadine fruit,MUSCADINE FRUIT,animate,,
n_180_a,hiláŋ wóˑl téy,n,muscadine vine,MUSCADINE VINE,animate,,
n_181_a,hiláy,n,wife,WIFE,animate,,
n_182_a,hilé·t,n,aunt,AUNT,animate,,
n_183_a,hilé·tta,n,female cousin,FEMALE COUSIN,animate,,
n_184_a,hilíni,n,web,WEB,inanimate,,
v_95_a,hílš,v,to sift something,SIFT,transitive,,
n_185_a,hílšne,n,sieve,SIEVE,inanimate,,
v_96_a,himáˑkš,v,to mix two things together (pl himáˑmš),MIX_TWO_TOGETHER,transitive,,
v_97_a,himám,v,to stab something,STAB,transitive,,
v_98_a,himáˑm,v,to gather something,GATHER,transitive,,
v_99_a,himáˑm,v,to pile up something,PILE,transitive,,
n_186_a,himáˑm,n,pile,PILE,inanimate,,
v_100_a,himáˑmš,v,to mix many things together,MIX_MANY_TOGETHER,transitive,,
n_187_a,himáŋ,n,odor,ODOR,inanimate,,
n_188_a,himáŋtol ití,n,perfume,PERFUME,inanimate,,
num_2_a,himatól,num,four,FOUR,N/A,,
num_3_a,himatolcíˑk,num,eight,EIGHT,N/A,,
adv_19_a,himatolcíˑkip,adv,eight times,EIGHT TIMES,N/A,,
adv_20_a,himatólip,adv,four times,FOUR TIMES,N/A,,
num_4_a,himatólšim,num,four apiece, four to each,FOUR APIECE,N/A,
v_101_a,himóˑš,v,to bury someone,BURY,transitive,,
n_189_a,himóˑšmák,n,grave mound,GRAVE MOUND,inanimate,,
n_190_a,himóˑšne,n,grave,GRAVE,inanimate,,
n_191_a,hín,n,paddle,PADDLE,inanimate,,
n_192_a,hináhi inó,n,the far side,THE FAR SIDE,inanimate,,
adj_1_b,hinák,adj,like,LIKE,N/A,,
adj_38_a,hinák,adj,to be as if,BE_AS_IF,N/A,,
adv_21_a,hinákka,adv,like,LIKE,N/A,,
adv_3_b,hinákka,adv,so,SO,N/A,,
adv_2_d,hinákka,adv,ago ,AGO,N/A,,
n_193_a,hinó,n,whirlwind,WHIRLWIND,inanimate,,
n_194_a,hipá,n,husband,HUSBAND,animate,,
v_102_a,hipóns,v,to fold something (var. hipóniš),FOLD,transitive,,
